iter	RMSE
0	14.91687022
1	14.82246948
2	14.72170893
3	14.62818248
4	14.54382106
5	14.45957739
6	14.38096868
7	14.28681899
8	14.19499872
9	14.10595424
10	14.01034517
11	13.91744397
12	13.84312943
13	13.75619058
14	13.67160593
15	13.58327463
16	13.49611947
17	13.41389541
18	13.33561857
19	13.25277042
20	13.1707784
21	13.09353937
22	13.03198314
23	12.94983377
24	12.88223346
25	12.82281947
26	12.74714479
27	12.6729661
28	12.60285857
29	12.53361894
30	12.46559152
31	12.38998539
32	12.3189357
33	12.25426421
34	12.18357262
35	12.1250207
36	12.05675508
37	11.98587663
38	11.91986594
39	11.85974933
40	11.79953627
41	11.74199152
42	11.67779027
43	11.61622586
44	11.55912475
45	11.48955738
46	11.42415089
47	11.37061397
48	11.30868687
49	11.24699084
50	11.19239691
51	11.13888601
52	11.08436311
53	11.02136596
54	10.96317437
55	10.9102145
56	10.85875523
57	10.80108826
58	10.73990282
59	10.68347535
60	10.62467778
61	10.5714175
62	10.52084228
63	10.46448916
64	10.41142463
65	10.3626765
66	10.31493649
67	10.26672607
68	10.22675167
69	10.17508753
70	10.12376661
71	10.07594186
72	10.03071109
73	9.981509207
74	9.940191755
75	9.891632247
76	9.850775772
77	9.801523735
78	9.754291758
79	9.712488631
80	9.673702801
81	9.628484174
82	9.582666618
83	9.535298873
84	9.490474799
85	9.447362768
86	9.409556026
87	9.373927686
88	9.331964616
89	9.298466472
90	9.255896966
91	9.213734853
92	9.176733282
93	9.134819174
94	9.093963019
95	9.062895011
96	9.031433294
97	9.000146335
98	8.96811862
99	8.932825855
100	8.900913987
101	8.864984376
102	8.831156848
103	8.796741778
104	8.76602847
105	8.735317756
106	8.700555225
107	8.670471078
108	8.637252948
109	8.600629586
110	8.56892962
111	8.534169878
112	8.500240255
113	8.469039502
114	8.436849595
115	8.406256895
116	8.380362307
117	8.352994268
118	8.324059947
119	8.293283061
120	8.269528768
121	8.240148985
122	8.209211165
123	8.184327314
124	8.157051833
125	8.12719962
126	8.097392234
127	8.071406683
128	8.045250993
129	8.021195373
130	7.994298153
131	7.967243232
132	7.941243446
133	7.913559501
134	7.88896577
135	7.867057762
136	7.838497175
137	7.815639972
138	7.794722354
139	7.769832261
140	7.743472478
141	7.723297267
142	7.703420344
143	7.67961098
144	7.656761097
145	7.633502955
146	7.609490125
147	7.588660686
148	7.567657097
149	7.54354278
150	7.523215699
151	7.50083709
152	7.48253765
153	7.462191989
154	7.442395237
155	7.421093572
156	7.401664441
157	7.385058658
158	7.364298467
159	7.348362838
160	7.331488465
161	7.314308647
162	7.293295745
163	7.274248268
164	7.256437797
165	7.238189806
166	7.222997624
167	7.208055006
168	7.189990177
169	7.17157593
170	7.156457859
171	7.141392199
172	7.124924397
173	7.108600158
174	7.093165628
175	7.078582534
176	7.058141928
177	7.040669672
178	7.028512205
179	7.010443841
180	6.99516104
181	6.976650307
182	6.963775972
183	6.947558699
184	6.933462991
185	6.916485029
186	6.903152821
187	6.88731353
188	6.87388947
189	6.858918796
190	6.845831534
191	6.830600264
192	6.814001444
193	6.798773326
194	6.78449969
195	6.771022576
196	6.758589687
197	6.745573109
198	6.731769286
199	6.718418723
200	6.703846427
201	6.689911964
202	6.676354019
203	6.663857876
204	6.654478434
205	6.641441035
206	6.629354982
207	6.618613096
208	6.606616411
209	6.593608037
210	6.583319415
211	6.571122092
212	6.559653842
213	6.547150673
214	6.536584671
215	6.528049959
216	6.516327653
217	6.507779316
218	6.496967794
219	6.48536935
220	6.474664273
221	6.465158548
222	6.453914699
223	6.446106257
224	6.437764387
225	6.427127998
226	6.418871431
227	6.408006401
228	6.397805309
229	6.387996211
230	6.379747089
231	6.369378789
232	6.359679702
233	6.349343006
234	6.341277718
235	6.332260013
236	6.323830249
237	6.314242174
238	6.30377708
239	6.293527048
240	6.284604614
241	6.276875792
242	6.267753875
243	6.259371992
244	6.249735728
245	6.240575077
246	6.232581801
247	6.225227031
248	6.218224373
249	6.21053877
250	6.202065214
251	6.194779097
252	6.185401047
253	6.176877476
254	6.167587003
255	6.159444858
256	6.152053653
257	6.143815055
258	6.136245111
259	6.129921079
260	6.122834302
261	6.114964243
262	6.108210019
263	6.100670622
264	6.094246002
265	6.087712804
266	6.081404387
267	6.073885788
268	6.06558974
269	6.059432325
270	6.053341111
271	6.047066496
272	6.041261738
273	6.0342871
274	6.028406518
275	6.021893092
276	6.014993184
