iter	Passed	Remaining
0	0	246
1	0	223
2	1	213
3	1	208
4	2	207
5	2	204
6	2	202
7	3	200
8	3	198
9	4	202
10	4	202
11	4	202
12	5	204
13	5	203
14	6	202
15	6	200
16	7	199
17	7	198
18	7	197
19	8	196
20	8	194
21	8	193
22	9	193
23	9	191
24	10	192
25	10	193
26	10	192
27	11	191
28	11	190
29	12	190
30	12	190
31	12	189
32	13	189
33	13	188
34	14	188
35	14	187
36	14	186
37	15	186
38	15	185
39	16	186
40	16	186
41	17	185
42	17	185
43	17	185
44	18	184
45	18	184
46	19	183
47	19	183
48	19	182
49	20	182
50	20	181
51	21	180
52	21	180
53	21	180
54	22	179
55	22	179
56	23	179
57	23	179
58	23	179
59	24	178
60	24	178
61	25	177
62	25	177
63	25	177
64	26	176
65	26	176
66	27	175
67	27	175
68	28	175
69	28	174
70	28	174
71	29	174
72	29	174
73	30	174
74	30	173
75	31	173
76	31	172
77	31	172
78	32	171
79	32	171
80	32	170
81	33	170
82	33	169
83	34	169
84	34	168
85	35	168
86	35	168
87	35	167
88	36	167
89	36	167
90	37	166
91	37	166
92	37	165
93	38	165
94	38	164
95	39	164
96	39	163
97	39	163
98	40	162
99	40	162
100	41	162
101	41	161
102	41	161
103	42	161
104	42	160
105	43	160
106	43	159
107	43	159
108	44	159
109	44	158
110	45	158
111	45	157
112	45	157
113	46	156
114	46	156
115	47	156
116	47	156
117	48	155
118	48	155
119	49	155
120	49	154
121	49	154
122	50	153
123	50	153
124	51	153
125	51	152
126	51	152
127	52	151
128	52	151
129	53	151
130	53	150
131	53	150
132	54	149
133	54	149
134	55	149
135	55	148
136	55	148
137	56	147
138	56	147
139	57	146
140	57	146
141	57	146
142	58	145
143	58	145
144	59	144
145	59	144
146	60	144
147	60	143
148	60	143
149	61	143
150	61	142
151	62	142
152	62	141
153	63	141
154	63	141
155	63	140
156	64	140
157	64	139
158	64	139
159	65	139
160	65	138
161	66	138
162	66	138
163	67	137
164	67	137
165	68	136
166	68	136
167	68	136
168	69	135
169	69	135
170	70	134
171	70	134
172	71	134
173	71	133
174	71	133
175	72	133
176	72	132
177	73	132
178	73	132
179	74	131
180	74	131
181	74	130
182	75	130
183	75	129
184	76	129
185	76	129
186	76	128
187	77	128
188	77	127
189	78	127
190	78	127
191	79	126
192	79	126
193	79	126
194	80	125
195	80	125
196	81	124
197	81	124
198	81	123
199	82	123
200	82	122
201	83	122
202	83	122
203	83	121
204	84	121
205	84	120
206	85	120
207	85	120
208	86	119
209	86	119
210	86	118
211	87	118
212	87	118
213	88	117
214	88	117
215	88	116
216	89	116
217	89	115
218	90	115
219	90	115
220	91	115
221	91	114
222	92	114
223	92	113
224	92	113
225	93	113
226	93	112
227	94	112
228	94	111
229	94	111
230	95	110
231	95	110
232	96	110
233	96	109
234	96	109
235	97	108
236	97	108
237	98	108
238	98	107
239	98	107
240	99	106
241	99	106
242	100	105
243	100	105
244	100	104
245	101	104
246	101	104
247	102	103
248	102	103
249	103	103
250	103	102
251	104	102
252	104	102
253	105	101
254	105	101
255	106	101
256	106	100
257	106	100
258	107	99
259	107	99
260	108	99
261	108	98
262	108	98
263	109	97
264	109	97
265	110	96
266	110	96
267	110	96
268	111	95
269	111	95
270	112	94
271	112	94
272	112	93
273	113	93
274	113	92
275	114	92
276	114	92
277	115	91
278	115	91
279	115	91
280	116	90
281	116	90
282	117	89
283	117	89
284	118	89
285	118	88
286	118	88
287	119	87
288	119	87
289	120	86
290	120	86
291	120	86
292	121	85
293	121	85
294	122	85
295	122	84
296	123	84
297	123	83
298	123	83
299	124	82
300	124	82
301	125	82
302	125	81
303	125	81
304	126	80
305	126	80
306	127	80
307	127	79
308	128	79
309	128	78
310	129	78
311	129	78
312	129	77
313	130	77
314	130	76
315	131	76
316	131	75
317	131	75
318	132	75
319	132	74
320	133	74
321	133	73
322	134	73
323	134	73
324	134	72
325	135	72
326	135	71
327	136	71
328	136	70
329	136	70
330	137	70
331	137	69
332	138	69
333	138	68
334	138	68
335	139	67
336	139	67
337	140	67
338	140	66
339	141	66
340	141	65
341	141	65
342	142	65
343	142	64
344	142	64
345	143	63
346	143	63
347	144	62
348	144	62
349	144	62
350	145	61
351	145	61
352	146	60
353	146	60
354	147	60
355	147	59
356	147	59
357	148	58
358	148	58
359	149	57
360	149	57
361	149	57
362	150	56
363	150	56
364	151	55
365	151	55
366	151	55
367	152	54
368	152	54
369	153	53
370	153	53
371	153	52
372	154	52
373	154	52
374	155	51
375	155	51
376	155	50
377	156	50
378	156	49
379	157	49
380	157	49
381	157	48
382	158	48
383	158	47
384	159	47
385	159	47
386	159	46
387	160	46
388	160	45
389	161	45
390	161	45
391	162	44
392	162	44
393	162	43
394	163	43
395	163	43
396	164	42
397	164	42
398	165	41
399	165	41
400	165	40
401	166	40
402	166	40
403	167	39
404	167	39
405	167	38
406	168	38
407	168	38
408	168	37
409	169	37
410	169	36
411	170	36
412	170	35
413	171	35
414	171	35
415	172	34
416	172	34
417	172	33
418	173	33
419	173	33
420	173	32
421	174	32
422	174	31
423	175	31
424	175	30
425	176	30
426	176	30
427	176	29
428	177	29
429	177	28
430	178	28
431	178	28
432	178	27
433	179	27
434	179	26
435	180	26
436	180	26
437	180	25
438	181	25
439	181	24
440	182	24
441	182	23
442	183	23
443	183	23
444	183	22
445	184	22
446	184	21
447	185	21
448	185	21
449	185	20
450	186	20
451	186	19
452	187	19
453	187	19
454	188	18
455	188	18
456	188	17
457	189	17
458	189	16
459	190	16
460	190	16
461	190	15
462	191	15
463	191	14
464	192	14
465	192	14
466	192	13
467	193	13
468	193	12
469	194	12
470	194	11
471	195	11
472	195	11
473	196	10
474	196	10
475	196	9
476	197	9
477	197	9
478	198	8
479	198	8
480	198	7
481	199	7
482	199	7
483	200	6
484	200	6
485	201	5
486	201	5
487	202	4
488	202	4
489	202	4
490	203	3
491	203	3
492	204	2
493	204	2
494	205	2
495	205	1
496	205	1
497	206	0
498	206	0
499	207	0
