iter	Passed	Remaining
0	0	980
1	1	875
2	2	984
3	4	1199
4	5	1104
5	6	1037
6	7	994
7	7	970
8	9	1040
9	10	1061
10	11	1046
11	12	1025
12	13	1002
13	14	996
14	15	1018
15	16	1003
16	17	983
17	17	970
18	18	970
19	19	964
20	20	953
21	22	998
22	23	987
23	23	973
24	24	962
25	25	954
26	26	944
27	26	933
28	28	956
29	29	948
30	30	939
31	30	928
32	31	923
33	32	913
34	32	907
35	34	928
36	35	922
37	36	916
38	36	906
39	37	900
40	38	893
41	38	888
42	39	887
43	40	888
44	41	883
45	42	877
46	42	871
47	43	866
48	44	860
49	45	855
50	45	851
51	46	853
52	47	851
53	48	846
54	49	842
55	49	837
56	50	833
57	50	828
58	51	824
59	52	822
60	53	822
61	54	823
62	55	821
63	55	818
64	56	814
65	57	810
66	57	807
67	58	806
68	59	804
69	60	802
70	61	799
71	61	798
72	62	797
73	63	793
74	64	790
75	65	790
76	65	788
77	66	785
78	67	782
79	68	784
80	68	781
81	69	779
82	69	772
83	70	769
84	71	769
85	72	767
86	72	763
87	73	760
88	74	757
89	74	754
90	75	751
91	75	748
92	76	747
93	77	745
94	78	744
95	78	742
96	79	739
97	80	737
98	80	735
99	81	736
100	82	734
101	83	733
102	84	739
103	85	737
104	86	735
105	86	733
106	87	731
107	88	729
108	88	726
109	89	724
110	90	724
111	91	723
112	91	721
113	92	718
114	93	716
115	93	715
116	94	712
117	95	710
118	95	708
119	96	707
120	97	706
121	97	704
122	98	702
123	99	700
124	99	698
125	100	696
126	100	693
127	101	691
128	102	690
129	102	689
130	103	687
131	104	686
132	105	685
133	105	683
134	106	682
135	107	680
136	107	678
137	108	677
138	109	680
139	110	678
140	111	676
141	111	673
142	112	672
143	112	670
144	113	669
145	114	667
146	115	667
147	115	666
148	116	665
149	117	663
150	117	661
151	118	659
152	118	658
153	119	657
154	120	656
155	121	657
156	122	657
157	123	656
158	124	656
159	124	654
160	125	652
161	126	652
162	127	652
163	128	654
164	129	653
165	130	654
166	130	652
167	131	651
168	132	650
169	132	648
170	134	650
171	134	649
172	135	648
173	136	647
174	137	647
175	138	647
176	139	647
177	140	649
178	141	648
179	142	647
180	142	646
181	143	644
182	144	643
183	144	642
184	145	640
185	146	641
186	147	641
187	148	641
188	149	641
189	150	640
190	151	639
191	152	640
192	153	641
193	154	640
194	154	639
195	155	638
196	156	637
197	157	636
198	157	634
199	158	633
200	159	633
201	160	632
202	160	631
203	161	629
204	162	630
205	163	629
206	163	627
207	164	626
208	165	626
209	166	625
210	166	624
211	167	622
212	168	621
213	168	619
214	169	618
215	170	617
216	170	616
217	171	616
218	172	615
219	173	614
220	173	612
221	174	611
222	175	610
223	175	608
224	176	607
225	176	605
226	177	606
227	178	604
228	179	603
229	180	603
230	180	601
231	181	600
232	182	599
233	182	597
234	183	596
235	184	596
236	184	595
237	185	594
238	186	592
239	186	591
240	187	590
241	188	588
242	188	587
243	189	586
244	190	586
245	190	585
246	191	583
247	192	582
248	192	581
249	193	580
250	194	579
251	194	578
252	195	576
253	195	575
254	196	574
255	197	573
256	198	572
257	198	571
258	199	570
259	200	569
260	200	568
261	201	566
262	201	565
263	202	565
264	203	564
265	203	562
266	204	561
267	205	560
268	205	559
269	206	558
270	207	557
271	207	556
272	208	555
273	209	555
274	210	554
275	211	553
276	211	552
277	212	551
278	212	550
279	213	549
280	214	548
281	215	547
282	216	547
283	216	546
284	217	545
285	217	543
286	218	543
287	219	542
288	219	541
289	220	540
290	221	539
291	222	538
292	223	538
293	223	537
294	224	537
295	225	536
296	226	535
297	226	534
298	227	533
299	228	533
300	229	532
301	229	530
302	230	529
303	231	529
304	231	528
305	232	527
306	232	525
307	233	525
308	235	525
309	235	524
310	236	524
311	237	522
312	237	522
313	238	520
314	239	520
315	240	520
316	241	519
317	242	519
318	242	518
319	243	517
320	244	516
321	244	515
322	245	514
323	246	513
324	247	513
325	247	512
326	248	511
327	249	510
328	249	509
329	250	508
330	251	507
331	251	506
332	252	506
333	253	505
334	254	504
335	254	503
336	255	503
337	256	501
338	256	500
339	257	499
340	258	498
341	259	498
342	259	497
343	260	496
344	260	495
345	261	494
346	262	493
347	262	492
348	263	491
349	264	490
350	265	490
351	266	489
352	266	488
353	267	488
354	268	487
355	268	486
356	269	485
357	270	484
358	270	483
359	271	482
360	272	482
361	272	481
362	273	480
363	274	479
364	274	478
365	275	477
366	276	476
367	276	475
368	277	474
369	278	473
370	278	472
371	279	471
372	280	471
373	280	470
374	281	469
375	282	468
376	282	467
377	283	466
378	284	465
379	284	464
380	285	463
381	285	462
382	286	461
383	287	460
384	287	459
385	288	458
386	288	457
387	289	456
388	290	455
389	290	454
390	291	454
391	292	453
392	292	452
393	293	451
394	293	450
395	294	449
396	295	448
397	295	447
398	296	446
399	297	445
400	297	444
401	298	444
402	299	443
403	299	442
404	300	441
405	300	440
406	301	439
407	302	438
408	303	437
409	303	437
410	304	436
411	304	435
412	305	434
413	306	433
414	306	432
415	307	431
416	307	430
417	308	429
418	309	429
419	310	428
420	311	427
421	311	427
422	312	426
423	313	425
424	313	424
425	315	424
426	315	423
427	316	422
428	317	422
429	317	421
430	318	420
431	319	419
432	319	418
433	320	417
434	321	417
435	321	416
436	322	415
437	323	414
438	323	413
439	324	412
440	325	411
441	325	411
442	326	410
443	326	409
444	327	408
445	328	407
446	328	406
447	329	406
448	330	405
449	330	404
450	331	403
451	331	402
452	332	401
453	333	400
454	333	400
455	334	399
456	335	398
457	335	397
458	336	396
459	337	395
460	337	394
461	338	393
462	339	393
463	339	392
464	340	391
465	341	390
466	341	389
467	342	389
468	342	388
469	343	387
470	344	386
471	344	385
472	345	384
473	345	383
474	346	383
475	347	382
476	348	381
477	348	380
478	349	379
479	349	379
480	350	378
481	351	377
482	351	376
483	352	375
484	353	375
485	354	374
486	354	373
487	355	372
488	356	372
489	356	371
490	357	370
491	357	369
492	358	368
493	359	368
494	359	367
495	360	366
496	361	365
497	361	364
498	362	364
499	363	363
500	363	362
501	364	361
502	365	360
503	365	360
504	366	359
505	367	358
506	367	357
507	368	356
508	369	355
509	369	355
510	370	354
511	370	353
512	371	352
513	372	352
514	372	351
515	373	350
516	374	349
517	374	348
518	375	347
519	376	347
520	376	346
521	377	345
522	378	344
523	378	344
524	379	343
525	379	342
526	380	341
527	381	340
528	382	340
529	382	339
530	383	338
531	384	338
532	385	337
533	385	336
534	386	335
535	386	334
536	387	334
537	388	333
538	388	332
539	389	331
540	389	330
541	390	330
542	391	329
543	392	328
544	392	327
545	393	326
546	393	326
547	394	325
548	395	324
549	395	323
550	396	322
551	397	322
552	397	321
553	398	320
554	398	319
555	399	319
556	400	318
557	400	317
558	401	316
559	401	315
560	402	314
561	403	314
562	404	313
563	404	312
564	405	312
565	406	311
566	406	310
567	407	309
568	408	309
569	408	308
570	409	307
571	410	307
572	411	306
573	411	305
574	412	304
575	413	304
576	413	303
577	414	302
578	415	302
579	416	301
580	416	300
581	417	299
582	418	299
583	418	298
584	419	297
585	419	296
586	420	295
587	421	295
588	422	294
589	422	293
590	423	292
591	423	292
592	424	291
593	425	290
594	426	290
595	426	289
596	427	288
597	428	288
598	429	287
599	430	286
600	431	286
601	431	285
602	432	284
603	433	283
604	434	283
605	434	282
606	435	281
607	436	281
608	436	280
609	437	279
610	438	279
611	438	278
612	439	277
613	440	277
614	441	276
615	442	275
616	443	275
617	443	274
618	444	273
619	445	272
620	445	272
621	446	271
622	447	270
623	448	270
624	449	269
625	450	269
626	450	268
627	451	267
628	452	267
629	453	266
630	454	265
631	454	264
632	455	264
633	456	263
634	456	262
635	457	261
636	458	261
637	459	260
638	459	259
639	460	259
640	461	258
641	461	257
642	462	256
643	463	256
644	463	255
645	464	254
646	465	254
647	466	253
648	467	252
649	467	251
650	468	251
651	469	250
652	469	249
653	470	249
654	471	248
655	472	247
656	472	246
657	473	246
658	474	245
659	474	244
660	475	243
661	476	243
662	476	242
663	477	241
664	478	240
665	478	240
666	479	239
667	479	238
668	480	237
669	481	236
670	481	236
671	482	235
672	483	234
673	483	234
674	484	233
675	485	232
676	485	231
677	486	230
678	487	230
679	487	229
680	488	228
681	488	227
682	489	227
683	490	226
684	490	225
685	491	224
686	492	224
687	492	223
688	493	222
689	493	221
690	494	221
691	495	220
692	495	219
693	496	218
694	497	218
695	497	217
696	498	216
697	499	215
698	499	215
699	500	214
700	501	213
701	501	213
702	502	212
703	503	211
704	504	210
705	504	210
706	505	209
707	506	208
708	506	207
709	507	207
710	507	206
711	508	205
712	509	204
713	509	204
714	510	203
715	511	202
716	512	202
717	513	201
718	514	200
719	515	200
720	515	199
721	516	198
722	516	198
723	517	197
724	518	196
725	518	195
726	519	195
727	519	194
728	520	193
729	521	192
730	521	192
731	522	191
732	523	190
733	523	189
734	524	189
735	525	188
736	525	187
737	526	186
738	526	186
739	527	185
740	528	184
741	529	183
742	529	183
743	530	182
744	530	181
745	531	181
746	532	180
747	532	179
748	533	178
749	534	178
750	535	177
751	535	176
752	536	175
753	536	175
754	537	174
755	538	173
756	538	172
757	539	172
758	540	171
759	540	170
760	541	170
761	542	169
762	542	168
763	543	167
764	543	167
765	544	166
766	545	165
767	545	164
768	546	164
769	547	163
770	547	162
771	548	161
772	549	161
773	549	160
774	550	159
775	550	159
776	551	158
777	552	157
778	552	156
779	553	156
780	554	155
781	554	154
782	555	153
783	556	153
784	556	152
785	557	151
786	558	151
787	559	150
788	559	149
789	560	148
790	561	148
791	561	147
792	562	146
793	562	146
794	563	145
795	564	144
796	564	143
797	565	143
798	566	142
799	566	141
800	567	141
801	568	140
802	568	139
803	569	138
804	570	138
805	570	137
806	571	136
807	572	135
808	572	135
809	573	134
810	574	133
811	574	133
812	575	132
813	575	131
814	576	130
815	577	130
816	577	129
817	578	128
818	579	127
819	579	127
820	580	126
821	580	125
822	581	125
823	582	124
824	582	123
825	583	122
826	584	122
827	585	121
828	585	120
829	586	120
830	586	119
831	587	118
832	588	117
833	588	117
834	589	116
835	590	115
836	590	115
837	591	114
838	592	113
839	592	112
840	593	112
841	593	111
842	594	110
843	595	110
844	596	109
845	596	108
846	597	107
847	598	107
848	599	106
849	599	105
850	600	105
851	601	104
852	601	103
853	602	102
854	602	102
855	603	101
856	604	100
857	605	100
858	605	99
859	606	98
860	607	97
861	607	97
862	608	96
863	608	95
864	609	95
865	610	94
866	611	93
867	611	93
868	612	92
869	612	91
870	613	90
871	614	90
872	614	89
873	615	88
874	616	88
875	616	87
876	617	86
877	618	85
878	618	85
879	619	84
880	619	83
881	620	83
882	621	82
883	621	81
884	622	80
885	623	80
886	623	79
887	624	78
888	625	78
889	625	77
890	626	76
891	626	75
892	627	75
893	628	74
894	629	73
895	629	73
896	630	72
897	630	71
898	631	70
899	632	70
900	632	69
901	633	68
902	633	68
903	634	67
904	635	66
905	635	65
906	636	65
907	637	64
908	637	63
909	638	63
910	639	62
911	639	61
912	640	61
913	640	60
914	641	59
915	642	58
916	642	58
917	643	57
918	644	56
919	644	56
920	645	55
921	645	54
922	646	53
923	647	53
924	647	52
925	648	51
926	649	51
927	649	50
928	650	49
929	651	49
930	651	48
931	652	47
932	652	46
933	653	46
934	654	45
935	655	44
936	655	44
937	656	43
938	657	42
939	657	41
940	658	41
941	658	40
942	659	39
943	660	39
944	660	38
945	661	37
946	662	37
947	662	36
948	663	35
949	664	34
950	664	34
951	665	33
952	665	32
953	666	32
954	667	31
955	668	30
956	668	30
957	669	29
958	670	28
959	671	27
960	671	27
961	672	26
962	673	25
963	674	25
964	675	24
965	675	23
966	676	23
967	676	22
968	677	21
969	678	20
970	678	20
971	679	19
972	680	18
973	680	18
974	681	17
975	682	16
976	682	16
977	683	15
978	684	14
979	684	13
980	685	13
981	686	12
982	686	11
983	687	11
984	688	10
985	688	9
986	689	9
987	690	8
988	690	7
989	691	6
990	692	6
991	693	5
992	693	4
993	694	4
994	695	3
995	695	2
996	696	2
997	696	1
998	697	0
999	698	0
